id	filename	md5	size	state
bc2ed83f-c63e-4529-b913-24638fdb1203	TCGA-50-5939-01Z-00-DX1.745D7503-0744-46B1-BC89-EBB8FCE2D55C.svs	8bfc55e628aafa0b2099099eaf14aee8	1356164075	validated
9c96b50c-37f0-4bd1-bca3-b39acce33c0d	TCGA-44-5645-01Z-00-DX1.8b0d89d7-7849-49a6-a2f5-a8faf2c5aab4.svs	e97093955a437b2528210ea7d38f14f6	285088277	validated
d6d105f1-955f-4c6d-9099-f1a0af7b8a74	TCGA-49-4505-01Z-00-DX1.d49d603e-1f76-43a1-a803-9f2d6a6df715.svs	a70aa33717d3a7fbeabee3f924b91f48	616798555	validated
03e2bc97-060e-4575-9510-4d7ec8a9c9e8	TCGA-05-4402-01Z-00-DX1.c653ddc2-88c1-45ac-88e7-4e512b8e8d53.svs	586f4284f9d4f62b21b4d49fe98b7bc6	625776842	validated
a79c96ab-5f63-41ba-95e8-18d4bfbb998a	TCGA-05-4415-01Z-00-DX1.55E0C429-B308-4962-8DA9-41D7D3F7764E.svs	22d9dfc4ce95e9f77147bb8ce0974ecd	433098028	validated
06c1f5a5-faa6-4fd0-9706-995716e248a9	TCGA-55-8299-01Z-00-DX1.6F652EC5-EBB8-499C-A66D-E0951FBFCAA2.svs	841580736a56a97361f44c485bcfc292	419311650	validated
05843435-cd47-4dd1-a69b-b46e5e98518f	TCGA-05-4420-01Z-00-DX1.2df0552e-87dc-491e-9be2-be8fbce2660d.svs	7fa08e5b6100d4f96fe1c11d04e0210f	313852628	validated
fc83476f-eb45-46db-b87b-25225d4417d0	TCGA-97-A4M7-01Z-00-DX1.111ED60D-6E4A-47E9-AFD0-C2A109DE2C60.svs	91d69fa6862f4e9694d4af152c529595	1306358977	validated
f43be0bf-51f9-44d3-ba72-dce43f7a1f24	TCGA-67-3773-01Z-00-DX1.3E9DFC22-E962-4C18-BF5B-27EBEA089F5D.svs	d781eab05f5304c160f0a6e24cbea100	486207472	validated
2cc62ceb-4bea-4663-ae3b-63a8e8c7f1f4	TCGA-78-7152-01Z-00-DX1.a04f9d84-3304-402c-9c0c-f64545c14781.svs	02e998f28747235f4910f5c361b00df2	1201515101	validated
a6ae4b6f-2e62-471e-9165-6d3fdfcf9194	TCGA-75-5126-01Z-00-DX1.164887F4-9986-415F-A94A-E40E92D80DA3.svs	830fd63b0086c1c7c01c4cad888cf92a	508551386	validated
8e8f5aba-0399-4450-b778-73c18d80e977	TCGA-44-3917-01Z-00-DX1.cf5b5b49-de5e-4f2e-90b4-b138f55560a9.svs	e73073798dc4efdf8f56243482b419e1	145959407	validated
65031891-4368-4cfe-b54e-11b20fc70c85	TCGA-67-3772-01Z-00-DX1.CB05C5CC-2801-4BB9-94A0-83E9005BCA2E.svs	b377475587ebb80fa3f47482d0820ae3	1021887818	validated
18a048fd-ece4-46ed-beb6-da5243466d34	TCGA-55-8207-01Z-00-DX1.2dafc442-f927-4b0d-b197-cc8c5f86d0fc.svs	c1b892506e2db01e198128affb3025f7	8772005	validated
015862cf-a450-48fa-b987-f993729436a6	TCGA-97-7552-01Z-00-DX1.a5ab8959-ff7a-4287-b014-87439957fb67.svs	ac8ae7dde7fc3fb9704206705c5c2b55	464874613	validated
ac97687c-bfb7-4903-b041-78b70e4cc1e3	TCGA-44-2655-01Z-00-DX1.ee255271-780c-461c-ab23-5cd3504b5e4a.svs	228d91d6c9a24a8a5449eb4231d3a3f0	79493713	validated
a9dfa94e-1a21-4860-9ece-df0796050d0c	TCGA-44-3396-01Z-00-DX1.187b0a68-ad51-4fcd-819c-b74a8599dbe9.svs	11be9257278c838b4c0227858023795b	333529711	validated
2150485f-dac9-4943-9ab3-b450595739f6	TCGA-L9-A444-01Z-00-DX1.88CF6F01-0C1F-4572-81E3-1A5790692861.svs	ba8ad7106bd2eb070105f3a54a2e8da9	1785297131	validated
f215470e-658f-4e4a-b316-7c2051723648	TCGA-L9-A8F4-01Z-00-DX1.E2BBB8DE-94E2-4781-9B55-8A4CFBF8A69D.svs	6be4bb90402e1bb26fb948931a35cac6	2193884675	validated
31e66248-379b-4da7-9db7-64c64565a246	TCGA-49-6743-01Z-00-DX2.f6b71e89-19ff-4d9b-a3f1-3a52949f1dc7.svs	37d74e033f198f5c7a0471d6a050c772	1293795815	validated
5e6b543e-3d96-41fd-8656-e401a601d36c	TCGA-97-7546-01Z-00-DX1.dad9871f-cdfb-424d-a5b2-4e0905c29137.svs	6e19851adc6741524cd513c5292ffd9c	373350943	validated
0b3cff7b-bbe2-40ab-aee6-cb0554940eaa	TCGA-05-4244-01Z-00-DX1.d4ff32cd-38cf-40ea-8213-45c2b100ac01.svs	edf03aaf67014c7cbb627cbe717216dd	235267370	validated
4081ddff-9524-4699-b7aa-915f6b040823	TCGA-55-1594-01Z-00-DX1.bd90c500-7c0b-4c45-a3f7-2d9177384b1d.svs	876b529b2ebce491880fa9b4c24b9071	740107925	validated
1ddc6a98-e855-4ca9-8809-f20725fe3120	TCGA-55-6983-01Z-00-DX1.8f940a64-1f1b-4e6e-99ea-418175be2b3f.svs	92ddcaa82c1b4ee9dc0c29914628e4a6	164685037	validated
e9298a6b-7d4a-4fe2-8349-3719a8c26d07	TCGA-78-7542-01Z-00-DX1.2ee042a6-11ee-4668-b254-44144fca4234.svs	cdd711a9f906ac1442e17f0e7cfaf3af	703601679	validated
6ff48f44-29d0-4c79-be38-54444a0f5694	TCGA-55-A57B-01Z-00-DX1.8D3C7063-3AF6-4839-A656-F844EC0AF9DB.svs	7f18423a7b9a408b7fd8f0b431f53769	122568410	validated
a9d2de24-b5a3-4b7b-961e-c3dcb47e1017	TCGA-75-5147-01Z-00-DX1.3156FA5C-9737-4EAA-989C-FD578FBF15A1.svs	b932e3aa7b6922ecffe0d32e659a2a68	131688074	validated
